"code","label","means_missing","description"
"688","savings institutions, including credit unions",FALSE,"Savings institutions, including credit unions"
"689","nondepository credit and related activities",FALSE,"Nondepository credit and related activities"
"697","securities, commodities, funds, trusts, and other financial investments",FALSE,"Securities, commodities, funds, trusts, and other financial investments"
"699","insurance carriers and related activities",FALSE,"Insurance carriers and related activities"
"707","real estate",FALSE,"Real estate"
"708","automotive equipment rental and leasing",FALSE,"Automotive equipment rental and leasing"
"717","video tape and disk rental",FALSE,"Video tape and disk rental"
"718","other consumer goods rental",FALSE,"Other consumer goods rental"
"719","commercial, industrial, and other intangible assets rental and leasing",FALSE,"Commercial, industrial, and other intangible assets rental and leasing"
"727","legal services",FALSE,"Legal services"
"728","accounting, tax preparation, bookkeeping, and payroll services",FALSE,"Accounting, tax preparation, bookkeeping, and payroll services"
"729","architectural, engineering, and related services",FALSE,"Architectural, engineering, and related services"
"737","specialized design services",FALSE,"Specialized design services"
"738","computer systems design and related services",FALSE,"Computer systems design and related services"
"739","management, scientific, and technical consulting services",FALSE,"Management, scientific, and technical consulting services"
"746","scientific research and development services",FALSE,"Scientific research and development services"
"747","advertising, public relations, and related services",FALSE,"Advertising, public relations, and related services"
"748","veterinary services",FALSE,"Veterinary services"
"749","other professional, scientific, and technical services",FALSE,"Other professional, scientific, and technical services"
"757","management of companies and enterprises",FALSE,"Management of companies and enterprises"
"758","employment services",FALSE,"Employment services"
"759","business support services",FALSE,"Business support services"
"767","travel arrangements and reservation services",FALSE,"Travel arrangements and reservation services"
"768","investigation and security services",FALSE,"Investigation and security services"
"769","services to buildings and dwellings",FALSE,"Services to buildings and dwellings (except cleaning during construction and immediately after construction)"
"777","landscaping services",FALSE,"Landscaping services"
"778","other administrative and other support services",FALSE,"Other administrative and other support services"
"779","waste management and remediation services",FALSE,"Waste management and remediation services"
"786","elementary and secondary schools",FALSE,"Elementary and secondary schools"
"787","colleges, universities, and professional schools, including junior colleges",FALSE,"Colleges, universities, and professional schools, including junior colleges"
"788","business, technical, and trade schools and training",FALSE,"Business, technical, and trade schools and training"
"789","other schools and instruction, and educational support services",FALSE,"Other schools and instruction, and educational support services"
"797","offices of physicians",FALSE,"Offices of physicians"
"798","offices of dentists",FALSE,"Offices of dentists"
"799","offices of chiropractors",FALSE,"Offices of chiropractors"
"807","offices of optometrists",FALSE,"Offices of optometrists"
"808","offices of other health practitioners",FALSE,"Offices of other health practitioners"
"809","outpatient care centers",FALSE,"Outpatient care centers"
"817","home health care services",FALSE,"Home health care services"
"818","other health care services",FALSE,"Other health care services"
"819","hospitals",FALSE,"Hospitals"
"827","nursing care facilities",FALSE,"Nursing care facilities (skilled nursing facilities)"
"829","residential care facilities",FALSE,"Residential care facilities, except skilled nursing facilities"
"837","individual and family services",FALSE,"Individual and family services"
"838","community food and housing, and emergency services",FALSE,"Community food and housing, and emergency services"
"839","vocational rehabilitation services",FALSE,"Vocational rehabilitation services"
"847","child day care services",FALSE,"Child day care services"
"856","performing arts, spectator sports, and related industries",FALSE,"Performing arts, spectator sports, and related industries"
"857","museums, art galleries, historical sites, and similar institutions",FALSE,"Museums, art galleries, historical sites, and similar institutions"
"858","bowling centers",FALSE,"Bowling centers"
"859","other amusement, gambling, and recreation industries",FALSE,"Other amusement, gambling, and recreation industries"
"866","traveler accommodation",FALSE,"Traveler accommodation"
"867","recreational vehicle parks and camps, and rooming and boarding houses",FALSE,"Recreational vehicle parks and camps, and rooming and boarding houses"
"868","restaurants and other food services",FALSE,"Restaurants and other food services"
"869","drinking places, alcoholic beverages",FALSE,"Drinking places, alcoholic beverages"
"877","automotive repair and maintenance",FALSE,"Automotive repair and maintenance"
"878","car washes",FALSE,"Car washes"
"879","electronic and precision equipment repair and maintenance",FALSE,"Electronic and precision equipment repair and maintenance"
"887","commercial and industrial machinery and equipment repair and maintenance",FALSE,"Commercial and industrial machinery and equipment repair and maintenance"
"888","personal and household goods repair and maintenance",FALSE,"Personal and household goods repair and maintenance"
"889","footwear and leather goods repair",FALSE,"Footwear and leather goods repair"
"897","barber shops",FALSE,"Barber shops"
"898","beauty salons",FALSE,"Beauty salons"
"899","nail salons and other personal care services",FALSE,"Nail salons and other personal care services"
"907","drycleaning and laundry services",FALSE,"Drycleaning and laundry services"
"908","funeral homes, and cemeteries and crematories",FALSE,"Funeral homes, and cemeteries and crematories"
"909","other personal services",FALSE,"Other personal services"
"916","religious organizations",FALSE,"Religious organizations"
"917","civic, social, advocacy organizations, and grantmaking and giving services",FALSE,"Civic, social, advocacy organizations, and grantmaking and giving services"
"918","labor unions",FALSE,"Labor unions"
"919","business, professional, political, and similar organizations",FALSE,"Business, professional, political, and similar organizations"
"929","private households",FALSE,"Private households"
"937","executive offices and legislative bodies",FALSE,"Executive offices and legislative bodies"
"938","public finance activities",FALSE,"Public finance activities"
"939","other general government and support",FALSE,"Other general government and support"
"947","justice, public order, and safety activities",FALSE,"Justice, public order, and safety activities"
"948","administration of human resource programs",FALSE,"Administration of human resource programs"
"949","administration of environmental quality and housing programs",FALSE,"Administration of environmental quality and housing programs"
"957","administration of economic programs and space research",FALSE,"Administration of economic programs and space research"
"959","national security and international affairs",FALSE,"National security and international affairs"
"967","U.S. Army",FALSE,"U. S. Army"
"968","U.S. Air Force",FALSE,"U. S. Air Force"
"969","U.S. Navy",FALSE,"U. S. Navy"
"977","U.S. Marines",FALSE,"U. S. Marines"
"978","U.S. Coast Guard",FALSE,"U. S. Coast Guard"
"979","armed forces, branch not specified",FALSE,"Armed Forces, Branch not specified"
"987","Military Reserves or National Guard",FALSE,"Military Reserves or National Guard"
"992","unemployed and last worked five years ago or earlier or never worked",FALSE,"Unemployed and last worked five years ago or earlier or never worked"
"New2","wholesale electronic markets and agents and brokers",FALSE,"Wholesale electronic markets and agents and brokers"
"New2","electronic auctions",FALSE,"Electronic auctions"
"New2","mail-order houses",FALSE,"Mail-order houses"
"New2","NANA",FALSE,
"New2","NANA",FALSE,
"New3","internet publishing and broadcasting and web search portals",FALSE,"Internet publishing and broadcasting and web search portals"
"Old","NANA",FALSE,
"Old","NANA",FALSE,
"Old","NANA",FALSE,
"Old","NANA",FALSE,
"Old","NANA",FALSE,
"Old","NANA",FALSE,
"Old","NANA",FALSE,
"Old","NANA",FALSE,
"Old","NANA",FALSE,
